air_temp,dni,ghi,period_end,period
11,0,0,2024-03-18T00:15:00Z,PT15M
11,0,0,2024-03-18T00:30:00Z,PT15M
11,0,0,2024-03-18T00:45:00Z,PT15M
11,0,0,2024-03-18T01:00:00Z,PT15M
11,0,0,2024-03-18T01:15:00Z,PT15M
11,0,0,2024-03-18T01:30:00Z,PT15M
11,0,0,2024-03-18T01:45:00Z,PT15M
11,0,0,2024-03-18T02:00:00Z,PT15M
11,0,0,2024-03-18T02:15:00Z,PT15M
11,0,0,2024-03-18T02:30:00Z,PT15M
11,0,0,2024-03-18T02:45:00Z,PT15M
11,0,0,2024-03-18T03:00:00Z,PT15M
11,0,0,2024-03-18T03:15:00Z,PT15M
11,0,0,2024-03-18T03:30:00Z,PT15M
11,0,0,2024-03-18T03:45:00Z,PT15M
11,0,0,2024-03-18T04:00:00Z,PT15M
11,0,0,2024-03-18T04:15:00Z,PT15M
11,0,0,2024-03-18T04:30:00Z,PT15M
11,0,0,2024-03-18T04:45:00Z,PT15M
11,0,0,2024-03-18T05:00:00Z,PT15M
11,0,0,2024-03-18T05:15:00Z,PT15M
11,0,1,2024-03-18T05:30:00Z,PT15M
11,0,10,2024-03-18T05:45:00Z,PT15M
11,0,4,2024-03-18T06:00:00Z,PT15M
11,0,12,2024-03-18T06:15:00Z,PT15M
12,0,31,2024-03-18T06:30:00Z,PT15M
12,0,40,2024-03-18T06:45:00Z,PT15M
12,0,39,2024-03-18T07:00:00Z,PT15M
12,0,64,2024-03-18T07:15:00Z,PT15M
12,0,66,2024-03-18T07:30:00Z,PT15M
12,0,63,2024-03-18T07:45:00Z,PT15M
13,0,66,2024-03-18T08:00:00Z,PT15M
13,0,97,2024-03-18T08:15:00Z,PT15M
13,0,99,2024-03-18T08:30:00Z,PT15M
13,0,92,2024-03-18T08:45:00Z,PT15M
13,0,84,2024-03-18T09:00:00Z,PT15M
13,0,89,2024-03-18T09:15:00Z,PT15M
14,0,109,2024-03-18T09:30:00Z,PT15M
14,0,99,2024-03-18T09:45:00Z,PT15M
14,0,119,2024-03-18T10:00:00Z,PT15M
14,0,119,2024-03-18T10:15:00Z,PT15M
14,0,139,2024-03-18T10:30:00Z,PT15M
14,0,185,2024-03-18T10:45:00Z,PT15M
15,0,209,2024-03-18T11:00:00Z,PT15M
15,0,169,2024-03-18T11:15:00Z,PT15M
15,0,224,2024-03-18T11:30:00Z,PT15M
15,0,185,2024-03-18T11:45:00Z,PT15M
15,0,136,2024-03-18T12:00:00Z,PT15M
15,0,170,2024-03-18T12:15:00Z,PT15M
15,0,145,2024-03-18T12:30:00Z,PT15M
15,0,216,2024-03-18T12:45:00Z,PT15M
15,0,273,2024-03-18T13:00:00Z,PT15M
15,0,254,2024-03-18T13:15:00Z,PT15M
15,0,222,2024-03-18T13:30:00Z,PT15M
15,0,164,2024-03-18T13:45:00Z,PT15M
15,0,127,2024-03-18T14:00:00Z,PT15M
15,0,110,2024-03-18T14:15:00Z,PT15M
15,0,117,2024-03-18T14:30:00Z,PT15M
15,0,93,2024-03-18T14:45:00Z,PT15M
15,0,104,2024-03-18T15:00:00Z,PT15M
15,0,113,2024-03-18T15:15:00Z,PT15M
15,0,87,2024-03-18T15:30:00Z,PT15M
15,0,102,2024-03-18T15:45:00Z,PT15M
15,0,98,2024-03-18T16:00:00Z,PT15M
15,0,72,2024-03-18T16:15:00Z,PT15M
15,0,50,2024-03-18T16:30:00Z,PT15M
14,0,36,2024-03-18T16:45:00Z,PT15M
14,0,20,2024-03-18T17:00:00Z,PT15M
14,0,6,2024-03-18T17:15:00Z,PT15M
14,0,0,2024-03-18T17:30:00Z,PT15M
14,0,0,2024-03-18T17:45:00Z,PT15M
14,0,0,2024-03-18T18:00:00Z,PT15M
14,0,0,2024-03-18T18:15:00Z,PT15M
14,0,0,2024-03-18T18:30:00Z,PT15M
14,0,0,2024-03-18T18:45:00Z,PT15M
14,0,0,2024-03-18T19:00:00Z,PT15M
14,0,0,2024-03-18T19:15:00Z,PT15M
14,0,0,2024-03-18T19:30:00Z,PT15M
14,0,0,2024-03-18T19:45:00Z,PT15M
14,0,0,2024-03-18T20:00:00Z,PT15M
14,0,0,2024-03-18T20:15:00Z,PT15M
14,0,0,2024-03-18T20:30:00Z,PT15M
14,0,0,2024-03-18T20:45:00Z,PT15M
14,0,0,2024-03-18T21:00:00Z,PT15M
14,0,0,2024-03-18T21:15:00Z,PT15M
14,0,0,2024-03-18T21:30:00Z,PT15M
13,0,0,2024-03-18T21:45:00Z,PT15M
13,0,0,2024-03-18T22:00:00Z,PT15M
13,0,0,2024-03-18T22:15:00Z,PT15M
13,0,0,2024-03-18T22:30:00Z,PT15M
13,0,0,2024-03-18T22:45:00Z,PT15M
13,0,0,2024-03-18T23:00:00Z,PT15M
13,0,0,2024-03-18T23:15:00Z,PT15M
13,0,0,2024-03-18T23:30:00Z,PT15M
13,0,0,2024-03-18T23:45:00Z,PT15M
13,0,0,2024-03-19T00:00:00Z,PT15M
13,0,0,2024-03-19T00:15:00Z,PT15M
12,0,0,2024-03-19T00:30:00Z,PT15M
12,0,0,2024-03-19T00:45:00Z,PT15M
12,0,0,2024-03-19T01:00:00Z,PT15M
12,0,0,2024-03-19T01:15:00Z,PT15M
12,0,0,2024-03-19T01:30:00Z,PT15M
12,0,0,2024-03-19T01:45:00Z,PT15M
12,0,0,2024-03-19T02:00:00Z,PT15M
12,0,0,2024-03-19T02:15:00Z,PT15M
12,0,0,2024-03-19T02:30:00Z,PT15M
12,0,0,2024-03-19T02:45:00Z,PT15M
11,0,0,2024-03-19T03:00:00Z,PT15M
11,0,0,2024-03-19T03:15:00Z,PT15M
11,0,0,2024-03-19T03:30:00Z,PT15M
11,0,0,2024-03-19T03:45:00Z,PT15M
11,0,0,2024-03-19T04:00:00Z,PT15M
11,0,0,2024-03-19T04:15:00Z,PT15M
11,0,0,2024-03-19T04:30:00Z,PT15M
11,0,0,2024-03-19T04:45:00Z,PT15M
11,0,0,2024-03-19T05:00:00Z,PT15M
11,0,0,2024-03-19T05:15:00Z,PT15M
11,9,3,2024-03-19T05:30:00Z,PT15M
11,145,28,2024-03-19T05:45:00Z,PT15M
11,380,66,2024-03-19T06:00:00Z,PT15M
12,497,109,2024-03-19T06:15:00Z,PT15M
12,583,156,2024-03-19T06:30:00Z,PT15M
12,650,204,2024-03-19T06:45:00Z,PT15M
13,705,253,2024-03-19T07:00:00Z,PT15M
13,748,301,2024-03-19T07:15:00Z,PT15M
14,782,349,2024-03-19T07:30:00Z,PT15M
14,810,396,2024-03-19T07:45:00Z,PT15M
15,834,441,2024-03-19T08:00:00Z,PT15M
15,855,484,2024-03-19T08:15:00Z,PT15M
15,872,525,2024-03-19T08:30:00Z,PT15M
16,887,564,2024-03-19T08:45:00Z,PT15M
16,900,600,2024-03-19T09:00:00Z,PT15M
17,910,632,2024-03-19T09:15:00Z,PT15M
17,919,662,2024-03-19T09:30:00Z,PT15M
17,926,688,2024-03-19T09:45:00Z,PT15M
18,932,711,2024-03-19T10:00:00Z,PT15M
18,936,731,2024-03-19T10:15:00Z,PT15M
19,938,746,2024-03-19T10:30:00Z,PT15M
19,939,758,2024-03-19T10:45:00Z,PT15M
19,938,766,2024-03-19T11:00:00Z,PT15M
19,928,769,2024-03-19T11:15:00Z,PT15M
20,884,759,2024-03-19T11:30:00Z,PT15M
20,789,732,2024-03-19T11:45:00Z,PT15M
20,822,736,2024-03-19T12:00:00Z,PT15M
20,851,736,2024-03-19T12:15:00Z,PT15M
20,838,720,2024-03-19T12:30:00Z,PT15M
20,822,700,2024-03-19T12:45:00Z,PT15M
20,805,677,2024-03-19T13:00:00Z,PT15M
20,786,650,2024-03-19T13:15:00Z,PT15M
20,764,620,2024-03-19T13:30:00Z,PT15M
20,739,586,2024-03-19T13:45:00Z,PT15M
19,712,550,2024-03-19T14:00:00Z,PT15M
19,691,512,2024-03-19T14:15:00Z,PT15M
19,677,475,2024-03-19T14:30:00Z,PT15M
19,660,434,2024-03-19T14:45:00Z,PT15M
19,636,392,2024-03-19T15:00:00Z,PT15M
19,529,335,2024-03-19T15:15:00Z,PT15M
19,429,281,2024-03-19T15:30:00Z,PT15M
18,486,249,2024-03-19T15:45:00Z,PT15M
18,470,207,2024-03-19T16:00:00Z,PT15M
18,408,161,2024-03-19T16:15:00Z,PT15M
17,288,113,2024-03-19T16:30:00Z,PT15M
17,252,76,2024-03-19T16:45:00Z,PT15M
17,70,37,2024-03-19T17:00:00Z,PT15M
17,0,9,2024-03-19T17:15:00Z,PT15M
16,0,0,2024-03-19T17:30:00Z,PT15M
16,0,0,2024-03-19T17:45:00Z,PT15M
15,0,0,2024-03-19T18:00:00Z,PT15M
15,0,0,2024-03-19T18:15:00Z,PT15M
15,0,0,2024-03-19T18:30:00Z,PT15M
14,0,0,2024-03-19T18:45:00Z,PT15M
14,0,0,2024-03-19T19:00:00Z,PT15M
14,0,0,2024-03-19T19:15:00Z,PT15M
14,0,0,2024-03-19T19:30:00Z,PT15M
14,0,0,2024-03-19T19:45:00Z,PT15M
14,0,0,2024-03-19T20:00:00Z,PT15M
13,0,0,2024-03-19T20:15:00Z,PT15M
13,0,0,2024-03-19T20:30:00Z,PT15M
13,0,0,2024-03-19T20:45:00Z,PT15M
13,0,0,2024-03-19T21:00:00Z,PT15M
13,0,0,2024-03-19T21:15:00Z,PT15M
13,0,0,2024-03-19T21:30:00Z,PT15M
13,0,0,2024-03-19T21:45:00Z,PT15M
12,0,0,2024-03-19T22:00:00Z,PT15M
12,0,0,2024-03-19T22:15:00Z,PT15M
12,0,0,2024-03-19T22:30:00Z,PT15M
12,0,0,2024-03-19T22:45:00Z,PT15M
12,0,0,2024-03-19T23:00:00Z,PT15M
11,0,0,2024-03-19T23:15:00Z,PT15M
11,0,0,2024-03-19T23:30:00Z,PT15M
11,0,0,2024-03-19T23:45:00Z,PT15M
11,0,0,2024-03-20T00:00:00Z,PT15M
