air_temp,dni,ghi,period_end,period
11,0,0,2024-03-01T00:15:00+00:00,PT15M
11,0,0,2024-03-01T00:30:00+00:00,PT15M
11,0,0,2024-03-01T00:45:00+00:00,PT15M
11,0,0,2024-03-01T01:00:00+00:00,PT15M
11,0,0,2024-03-01T01:15:00+00:00,PT15M
11,0,0,2024-03-01T01:30:00+00:00,PT15M
11,0,0,2024-03-01T01:45:00+00:00,PT15M
11,0,0,2024-03-01T02:00:00+00:00,PT15M
11,0,0,2024-03-01T02:15:00+00:00,PT15M
11,0,0,2024-03-01T02:30:00+00:00,PT15M
11,0,0,2024-03-01T02:45:00+00:00,PT15M
11,0,0,2024-03-01T03:00:00+00:00,PT15M
11,0,0,2024-03-01T03:15:00+00:00,PT15M
11,0,0,2024-03-01T03:30:00+00:00,PT15M
11,0,0,2024-03-01T03:45:00+00:00,PT15M
11,0,0,2024-03-01T04:00:00+00:00,PT15M
11,0,0,2024-03-01T04:15:00+00:00,PT15M
11,0,0,2024-03-01T04:30:00+00:00,PT15M
11,0,0,2024-03-01T04:45:00+00:00,PT15M
11,0,0,2024-03-01T05:00:00+00:00,PT15M
11,0,0,2024-03-01T05:15:00+00:00,PT15M
11,0,0,2024-03-01T05:30:00+00:00,PT15M
11,0,0,2024-03-01T05:45:00+00:00,PT15M
11,0,0,2024-03-01T06:00:00+00:00,PT15M
11,0,0,2024-03-01T06:15:00+00:00,PT15M
11,0,1,2024-03-01T06:30:00+00:00,PT15M
11,0,4,2024-03-01T06:45:00+00:00,PT15M
11,0,7,2024-03-01T07:00:00+00:00,PT15M
11,0,10,2024-03-01T07:15:00+00:00,PT15M
11,0,15,2024-03-01T07:30:00+00:00,PT15M
11,0,17,2024-03-01T07:45:00+00:00,PT15M
11,0,16,2024-03-01T08:00:00+00:00,PT15M
11,0,29,2024-03-01T08:15:00+00:00,PT15M
11,0,40,2024-03-01T08:30:00+00:00,PT15M
11,0,47,2024-03-01T08:45:00+00:00,PT15M
11,0,55,2024-03-01T09:00:00+00:00,PT15M
11,0,63,2024-03-01T09:15:00+00:00,PT15M
11,0,79,2024-03-01T09:30:00+00:00,PT15M
11,0,82,2024-03-01T09:45:00+00:00,PT15M
11,0,74,2024-03-01T10:00:00+00:00,PT15M
11,0,69,2024-03-01T10:15:00+00:00,PT15M
11,0,69,2024-03-01T10:30:00+00:00,PT15M
11,0,78,2024-03-01T10:45:00+00:00,PT15M
12,0,87,2024-03-01T11:00:00+00:00,PT15M
12,0,94,2024-03-01T11:15:00+00:00,PT15M
12,0,100,2024-03-01T11:30:00+00:00,PT15M
12,0,113,2024-03-01T11:45:00+00:00,PT15M
12,0,126,2024-03-01T12:00:00+00:00,PT15M
12,0,131,2024-03-01T12:15:00+00:00,PT15M
12,0,132,2024-03-01T12:30:00+00:00,PT15M
12,0,133,2024-03-01T12:45:00+00:00,PT15M
12,0,139,2024-03-01T13:00:00+00:00,PT15M
12,0,130,2024-03-01T13:15:00+00:00,PT15M
12,0,109,2024-03-01T13:30:00+00:00,PT15M
12,0,104,2024-03-01T13:45:00+00:00,PT15M
12,0,108,2024-03-01T14:00:00+00:00,PT15M
12,0,109,2024-03-01T14:15:00+00:00,PT15M
12,0,111,2024-03-01T14:30:00+00:00,PT15M
12,0,99,2024-03-01T14:45:00+00:00,PT15M
12,0,95,2024-03-01T15:00:00+00:00,PT15M
12,0,79,2024-03-01T15:15:00+00:00,PT15M
12,0,61,2024-03-01T15:30:00+00:00,PT15M
12,0,50,2024-03-01T15:45:00+00:00,PT15M
12,0,56,2024-03-01T16:00:00+00:00,PT15M
12,0,38,2024-03-01T16:15:00+00:00,PT15M
12,0,24,2024-03-01T16:30:00+00:00,PT15M
12,0,11,2024-03-01T16:45:00+00:00,PT15M
12,0,2,2024-03-01T17:00:00+00:00,PT15M
12,0,0,2024-03-01T17:15:00+00:00,PT15M
11,0,0,2024-03-01T17:30:00+00:00,PT15M
11,0,0,2024-03-01T17:45:00+00:00,PT15M
11,0,0,2024-03-01T18:00:00+00:00,PT15M
11,0,0,2024-03-01T18:15:00+00:00,PT15M
11,0,0,2024-03-01T18:30:00+00:00,PT15M
11,0,0,2024-03-01T18:45:00+00:00,PT15M
11,0,0,2024-03-01T19:00:00+00:00,PT15M
11,0,0,2024-03-01T19:15:00+00:00,PT15M
11,0,0,2024-03-01T19:30:00+00:00,PT15M
11,0,0,2024-03-01T19:45:00+00:00,PT15M
11,0,0,2024-03-01T20:00:00+00:00,PT15M
11,0,0,2024-03-01T20:15:00+00:00,PT15M
11,0,0,2024-03-01T20:30:00+00:00,PT15M
11,0,0,2024-03-01T20:45:00+00:00,PT15M
11,0,0,2024-03-01T21:00:00+00:00,PT15M
11,0,0,2024-03-01T21:15:00+00:00,PT15M
11,0,0,2024-03-01T21:30:00+00:00,PT15M
11,0,0,2024-03-01T21:45:00+00:00,PT15M
11,0,0,2024-03-01T22:00:00+00:00,PT15M
11,0,0,2024-03-01T22:15:00+00:00,PT15M
11,0,0,2024-03-01T22:30:00+00:00,PT15M
11,0,0,2024-03-01T22:45:00+00:00,PT15M
11,0,0,2024-03-01T23:00:00+00:00,PT15M
11,0,0,2024-03-01T23:15:00+00:00,PT15M
11,0,0,2024-03-01T23:30:00+00:00,PT15M
11,0,0,2024-03-01T23:45:00+00:00,PT15M
11,0,0,2024-03-02T00:00:00+00:00,PT15M
11,0,0,2024-03-02T00:15:00+00:00,PT15M
10,0,0,2024-03-02T00:30:00+00:00,PT15M
10,0,0,2024-03-02T00:45:00+00:00,PT15M
10,0,0,2024-03-02T01:00:00+00:00,PT15M
10,0,0,2024-03-02T01:15:00+00:00,PT15M
10,0,0,2024-03-02T01:30:00+00:00,PT15M
10,0,0,2024-03-02T01:45:00+00:00,PT15M
10,0,0,2024-03-02T02:00:00+00:00,PT15M
10,0,0,2024-03-02T02:15:00+00:00,PT15M
10,0,0,2024-03-02T02:30:00+00:00,PT15M
10,0,0,2024-03-02T02:45:00+00:00,PT15M
10,0,0,2024-03-02T03:00:00+00:00,PT15M
10,0,0,2024-03-02T03:15:00+00:00,PT15M
10,0,0,2024-03-02T03:30:00+00:00,PT15M
10,0,0,2024-03-02T03:45:00+00:00,PT15M
10,0,0,2024-03-02T04:00:00+00:00,PT15M
10,0,0,2024-03-02T04:15:00+00:00,PT15M
10,0,0,2024-03-02T04:30:00+00:00,PT15M
10,0,0,2024-03-02T04:45:00+00:00,PT15M
10,0,0,2024-03-02T05:00:00+00:00,PT15M
10,0,0,2024-03-02T05:15:00+00:00,PT15M
10,0,0,2024-03-02T05:30:00+00:00,PT15M
10,0,0,2024-03-02T05:45:00+00:00,PT15M
10,0,0,2024-03-02T06:00:00+00:00,PT15M
10,0,2,2024-03-02T06:15:00+00:00,PT15M
10,0,6,2024-03-02T06:30:00+00:00,PT15M
10,0,12,2024-03-02T06:45:00+00:00,PT15M
10,0,25,2024-03-02T07:00:00+00:00,PT15M
10,0,37,2024-03-02T07:15:00+00:00,PT15M
10,0,45,2024-03-02T07:30:00+00:00,PT15M
10,0,60,2024-03-02T07:45:00+00:00,PT15M
10,0,73,2024-03-02T08:00:00+00:00,PT15M
10,0,94,2024-03-02T08:15:00+00:00,PT15M
10,0,121,2024-03-02T08:30:00+00:00,PT15M
11,0,126,2024-03-02T08:45:00+00:00,PT15M
11,0,120,2024-03-02T09:00:00+00:00,PT15M
11,0,83,2024-03-02T09:15:00+00:00,PT15M
11,0,72,2024-03-02T09:30:00+00:00,PT15M
11,0,58,2024-03-02T09:45:00+00:00,PT15M
11,0,61,2024-03-02T10:00:00+00:00,PT15M
11,0,71,2024-03-02T10:15:00+00:00,PT15M
11,0,84,2024-03-02T10:30:00+00:00,PT15M
11,0,89,2024-03-02T10:45:00+00:00,PT15M
11,0,82,2024-03-02T11:00:00+00:00,PT15M
11,0,105,2024-03-02T11:15:00+00:00,PT15M
11,0,85,2024-03-02T11:30:00+00:00,PT15M
12,0,74,2024-03-02T11:45:00+00:00,PT15M
12,0,53,2024-03-02T12:00:00+00:00,PT15M
12,0,33,2024-03-02T12:15:00+00:00,PT15M
12,0,57,2024-03-02T12:30:00+00:00,PT15M
12,0,109,2024-03-02T12:45:00+00:00,PT15M
12,0,162,2024-03-02T13:00:00+00:00,PT15M
12,0,185,2024-03-02T13:15:00+00:00,PT15M
12,0,221,2024-03-02T13:30:00+00:00,PT15M
12,0,146,2024-03-02T13:45:00+00:00,PT15M
12,0,116,2024-03-02T14:00:00+00:00,PT15M
12,0,62,2024-03-02T14:15:00+00:00,PT15M
12,0,89,2024-03-02T14:30:00+00:00,PT15M
12,0,74,2024-03-02T14:45:00+00:00,PT15M
12,0,127,2024-03-02T15:00:00+00:00,PT15M
12,109,188,2024-03-02T15:15:00+00:00,PT15M
12,255,196,2024-03-02T15:30:00+00:00,PT15M
12,10,131,2024-03-02T15:45:00+00:00,PT15M
12,89,112,2024-03-02T16:00:00+00:00,PT15M
12,156,94,2024-03-02T16:15:00+00:00,PT15M
11,27,48,2024-03-02T16:30:00+00:00,PT15M
11,0,21,2024-03-02T16:45:00+00:00,PT15M
11,0,6,2024-03-02T17:00:00+00:00,PT15M
11,0,0,2024-03-02T17:15:00+00:00,PT15M
11,0,0,2024-03-02T17:30:00+00:00,PT15M
11,0,0,2024-03-02T17:45:00+00:00,PT15M
11,0,0,2024-03-02T18:00:00+00:00,PT15M
11,0,0,2024-03-02T18:15:00+00:00,PT15M
11,0,0,2024-03-02T18:30:00+00:00,PT15M
11,0,0,2024-03-02T18:45:00+00:00,PT15M
11,0,0,2024-03-02T19:00:00+00:00,PT15M
11,0,0,2024-03-02T19:15:00+00:00,PT15M
11,0,0,2024-03-02T19:30:00+00:00,PT15M
11,0,0,2024-03-02T19:45:00+00:00,PT15M
10,0,0,2024-03-02T20:00:00+00:00,PT15M
10,0,0,2024-03-02T20:15:00+00:00,PT15M
10,0,0,2024-03-02T20:30:00+00:00,PT15M
10,0,0,2024-03-02T20:45:00+00:00,PT15M
10,0,0,2024-03-02T21:00:00+00:00,PT15M
10,0,0,2024-03-02T21:15:00+00:00,PT15M
10,0,0,2024-03-02T21:30:00+00:00,PT15M
10,0,0,2024-03-02T21:45:00+00:00,PT15M
10,0,0,2024-03-02T22:00:00+00:00,PT15M
10,0,0,2024-03-02T22:15:00+00:00,PT15M
10,0,0,2024-03-02T22:30:00+00:00,PT15M
10,0,0,2024-03-02T22:45:00+00:00,PT15M
10,0,0,2024-03-02T23:00:00+00:00,PT15M
10,0,0,2024-03-02T23:15:00+00:00,PT15M
10,0,0,2024-03-02T23:30:00+00:00,PT15M
10,0,0,2024-03-02T23:45:00+00:00,PT15M
10,0,0,2024-03-03T00:00:00+00:00,PT15M
10,0,0,2024-03-03T00:15:00+00:00,PT15M
10,0,0,2024-03-03T00:30:00+00:00,PT15M
10,0,0,2024-03-03T00:45:00+00:00,PT15M
9,0,0,2024-03-03T01:00:00+00:00,PT15M
9,0,0,2024-03-03T01:15:00+00:00,PT15M
9,0,0,2024-03-03T01:30:00+00:00,PT15M
9,0,0,2024-03-03T01:45:00+00:00,PT15M
9,0,0,2024-03-03T02:00:00+00:00,PT15M
9,0,0,2024-03-03T02:15:00+00:00,PT15M
9,0,0,2024-03-03T02:30:00+00:00,PT15M
9,0,0,2024-03-03T02:45:00+00:00,PT15M
9,0,0,2024-03-03T03:00:00+00:00,PT15M
9,0,0,2024-03-03T03:15:00+00:00,PT15M
9,0,0,2024-03-03T03:30:00+00:00,PT15M
9,0,0,2024-03-03T03:45:00+00:00,PT15M
9,0,0,2024-03-03T04:00:00+00:00,PT15M
9,0,0,2024-03-03T04:15:00+00:00,PT15M
9,0,0,2024-03-03T04:30:00+00:00,PT15M
9,0,0,2024-03-03T04:45:00+00:00,PT15M
9,0,0,2024-03-03T05:00:00+00:00,PT15M
9,0,0,2024-03-03T05:15:00+00:00,PT15M
9,0,0,2024-03-03T05:30:00+00:00,PT15M
9,0,0,2024-03-03T05:45:00+00:00,PT15M
9,0,0,2024-03-03T06:00:00+00:00,PT15M
9,0,1,2024-03-03T06:15:00+00:00,PT15M
9,0,3,2024-03-03T06:30:00+00:00,PT15M
9,0,6,2024-03-03T06:45:00+00:00,PT15M
9,0,13,2024-03-03T07:00:00+00:00,PT15M
9,0,17,2024-03-03T07:15:00+00:00,PT15M
9,0,23,2024-03-03T07:30:00+00:00,PT15M
9,0,30,2024-03-03T07:45:00+00:00,PT15M
9,0,41,2024-03-03T08:00:00+00:00,PT15M
10,0,58,2024-03-03T08:15:00+00:00,PT15M
10,0,56,2024-03-03T08:30:00+00:00,PT15M
10,0,51,2024-03-03T08:45:00+00:00,PT15M
10,0,118,2024-03-03T09:00:00+00:00,PT15M
10,0,146,2024-03-03T09:15:00+00:00,PT15M
10,0,159,2024-03-03T09:30:00+00:00,PT15M
11,0,165,2024-03-03T09:45:00+00:00,PT15M
11,0,217,2024-03-03T10:00:00+00:00,PT15M
11,0,254,2024-03-03T10:15:00+00:00,PT15M
12,0,317,2024-03-03T10:30:00+00:00,PT15M
12,0,339,2024-03-03T10:45:00+00:00,PT15M
12,113,413,2024-03-03T11:00:00+00:00,PT15M
12,201,448,2024-03-03T11:15:00+00:00,PT15M
13,251,467,2024-03-03T11:30:00+00:00,PT15M
13,216,456,2024-03-03T11:45:00+00:00,PT15M
13,81,406,2024-03-03T12:00:00+00:00,PT15M
13,0,304,2024-03-03T12:15:00+00:00,PT15M
13,0,245,2024-03-03T12:30:00+00:00,PT15M
13,0,217,2024-03-03T12:45:00+00:00,PT15M
13,0,169,2024-03-03T13:00:00+00:00,PT15M
13,0,146,2024-03-03T13:15:00+00:00,PT15M
13,0,182,2024-03-03T13:30:00+00:00,PT15M
13,0,193,2024-03-03T13:45:00+00:00,PT15M
13,0,176,2024-03-03T14:00:00+00:00,PT15M
13,0,147,2024-03-03T14:15:00+00:00,PT15M
13,0,144,2024-03-03T14:30:00+00:00,PT15M
13,0,148,2024-03-03T14:45:00+00:00,PT15M
13,0,137,2024-03-03T15:00:00+00:00,PT15M
13,0,98,2024-03-03T15:15:00+00:00,PT15M
13,0,98,2024-03-03T15:30:00+00:00,PT15M
